City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Zhigalovo,RU,54.8097,105.1578,53.19,56,30,3.42,scattered clouds
80,Jamestown,US,42.097,-79.2353,75.02,52,0,11.5,clear sky
81,Cabo San Lucas,MX,22.8909,-109.9124,84.61,64,8,11.95,clear sky
82,San Cristobal,VE,7.7669,-72.225,77.18,75,100,3.91,overcast clouds
83,Portmore,JM,17.9702,-76.8672,84.16,74,20,29.93,few clouds
84,Kudamatsu,JP,34.0,131.8667,69.76,95,100,7.4,moderate rain
85,Portland,US,45.5234,-122.6762,75.87,56,75,6.91,broken clouds
86,Yellowknife,CA,62.456,-114.3525,57.72,30,20,9.22,few clouds
87,Orvieto,IT,42.7195,12.1116,66.18,75,9,1.05,clear sky
88,Gornyy,RU,55.1153,83.9059,58.87,74,52,11.25,broken clouds
89,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.4,60,67,5.57,broken clouds
90,Kununurra,AU,-15.7667,128.7333,64.38,82,58,0.0,broken clouds
91,Burns Lake,CA,54.2331,-125.7533,51.22,37,89,3.65,overcast clouds
92,Diplo,PK,24.4667,69.584,81.19,81,0,16.8,clear sky
93,Mitsamiouli,KM,-11.3847,43.2844,79.56,72,28,5.48,scattered clouds
94,Yelizovo,RU,53.1873,158.3805,41.14,100,100,4.47,overcast clouds
95,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,20,18.41,few clouds
96,Vanavara,RU,60.34,102.2797,45.14,84,98,10.89,overcast clouds
97,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
98,Khiv,RU,41.7543,47.9306,44.92,82,68,5.14,broken clouds
99,Saskylakh,RU,71.9167,114.0833,20.62,94,81,2.86,broken clouds
100,Hualmay,PE,-11.0964,-77.6139,66.13,77,44,8.16,scattered clouds
101,At-Bashi,KG,41.1702,75.8106,53.33,48,1,1.9,clear sky
102,Mount Gambier,AU,-37.8333,140.7667,55.31,100,100,11.5,overcast clouds
103,Narbonne,FR,43.0833,2.8333,64.63,47,38,22.01,scattered clouds
104,Aksum,ET,14.1245,38.7244,66.97,43,100,5.28,overcast clouds
105,Awbari,LY,26.5921,12.7805,85.26,8,100,4.29,overcast clouds
106,Nikolskoye,RU,59.7035,30.7861,44.49,73,81,5.44,broken clouds
107,Isangel,VU,-19.55,169.2667,78.91,83,20,4.61,few clouds
108,Erenhot,CN,43.6475,111.9767,60.13,19,71,10.49,broken clouds
109,Cherskiy,RU,68.75,161.3,41.13,70,49,13.67,scattered clouds
110,Vorotynets,RU,56.0603,45.8633,37.0,95,79,6.26,broken clouds
111,Barra Patuca,HN,15.8,-84.2833,82.31,79,97,14.0,overcast clouds
112,Rocha,UY,-34.4833,-54.3333,51.87,92,100,17.16,overcast clouds
113,Severo-Kurilsk,RU,50.6789,156.125,40.35,95,100,7.09,overcast clouds
114,Kizukuri,JP,40.8061,140.3861,68.11,66,13,3.13,few clouds
115,Fortuna,US,40.5982,-124.1573,68.94,71,0,16.11,clear sky
116,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,11.5,clear sky
117,Santa Maria,BR,-29.6842,-53.8069,65.5,82,40,0.0,scattered clouds
118,Codrington,AU,-38.2667,141.9667,56.46,87,86,10.69,overcast clouds
119,Sola,VU,-13.8833,167.55,81.27,78,20,0.0,few clouds
120,Berberati,CF,4.2612,15.7922,68.52,97,22,2.98,few clouds
121,Kieta,PG,-6.2167,155.6333,82.8,73,97,3.29,light rain
122,Makat,KZ,47.6469,53.3463,59.61,61,43,6.55,scattered clouds
